steps,rewards,bin
27,27.0,0
37,10.0,0
60,23.0,0
82,22.0,0
95,13.0,0
110,15.0,0
125,15.0,0
146,21.0,0
161,15.0,0
171,10.0,0
189,18.0,0
214,25.0,0
229,15.0,0
245,16.0,0
271,26.0,0
307,36.0,0
345,38.0,0
386,41.0,0
452,66.0,0
499,47.0,0
535,36.0,0
568,33.0,0
603,35.0,0
646,43.0,0
707,61.0,0
743,36.0,0
820,77.0,0
868,48.0,0
925,57.0,0
968,43.0,0
1029,61.0,1
1088,59.0,1
1100,12.0,1
1110,10.0,1
1149,39.0,1
1196,47.0,1
1226,30.0,1
1247,21.0,1
1285,38.0,1
1303,18.0,1
1314,11.0,1
1334,20.0,1
1347,13.0,1
1359,12.0,1
1368,9.0,1
1377,9.0,1
1386,9.0,1
1395,9.0,1
1403,8.0,1
1413,10.0,1
1443,30.0,1
1476,33.0,1
1521,45.0,1
1549,28.0,1
1581,32.0,1
1600,19.0,1
1615,15.0,1
1625,10.0,1
1638,13.0,1
1648,10.0,1
1663,15.0,1
1684,21.0,1
1697,13.0,1
1713,16.0,1
1729,16.0,1
1738,9.0,1
1747,9.0,1
1759,12.0,1
1791,32.0,1
1801,10.0,1
1811,10.0,1
1823,12.0,1
1833,10.0,1
1872,39.0,1
1902,30.0,1
1913,11.0,1
1923,10.0,1
1938,15.0,1
1947,9.0,1
1958,11.0,1
1974,16.0,1
1984,10.0,1
2006,22.0,2
2027,21.0,2
2063,36.0,2
2077,14.0,2
2088,11.0,2
2099,11.0,2
2108,9.0,2
2119,11.0,2
2130,11.0,2
2141,11.0,2
2152,11.0,2
2164,12.0,2
2215,51.0,2
2243,28.0,2
2259,16.0,2
2273,14.0,2
2311,38.0,2
2323,12.0,2
2341,18.0,2
2351,10.0,2
2361,10.0,2
2373,12.0,2
2382,9.0,2
2419,37.0,2
2428,9.0,2
2439,11.0,2
2470,31.0,2
2482,12.0,2
2492,10.0,2
2590,98.0,2
2605,15.0,2
2617,12.0,2
2629,12.0,2
2779,150.0,2
2803,24.0,2
2815,12.0,2
2834,19.0,2
2868,34.0,2
2920,52.0,2
2984,64.0,2
2997,13.0,2
3016,19.0,3
3032,16.0,3
3042,10.0,3
3051,9.0,3
3061,10.0,3
3071,10.0,3
3082,11.0,3
3094,12.0,3
3106,12.0,3
3162,56.0,3
3205,43.0,3
3229,24.0,3
3243,14.0,3
3365,122.0,3
3494,129.0,3
3672,178.0,3
3686,14.0,3
3732,46.0,3
3799,67.0,3
3910,111.0,3
3919,9.0,3
4039,120.0,4
4064,25.0,4
4184,120.0,4
4461,277.0,4
4578,117.0,4
4681,103.0,4
5033,352.0,5
5351,318.0,5
5634,283.0,5
5954,320.0,5
6177,223.0,6
6407,230.0,6
6596,189.0,6
6850,254.0,6
7175,325.0,7
7599,424.0,7
7929,330.0,7
8184,255.0,8
8436,252.0,8
8669,233.0,8
9059,390.0,9
9352,293.0,9
9575,223.0,9
9802,227.0,9
10073,271.0,10
10296,223.0,10
10474,178.0,10
10679,205.0,10
10890,211.0,10
11090,200.0,11
11296,206.0,11
11526,230.0,11
11752,226.0,11
11958,206.0,11
12144,186.0,12
12365,221.0,12
12546,181.0,12
12761,215.0,12
12940,179.0,12
13143,203.0,13
13345,202.0,13
13499,154.0,13
13763,264.0,13
13945,182.0,13
14132,187.0,14
14277,145.0,14
14454,177.0,14
14624,170.0,14
14814,190.0,14
14965,151.0,14
15353,388.0,15
15537,184.0,15
15686,149.0,15
15854,168.0,15
16000,146.0,16
16145,145.0,16
16284,139.0,16
16435,151.0,16
16584,149.0,16
16719,135.0,16
16845,126.0,16
16967,122.0,16
17089,122.0,17
17213,124.0,17
17337,124.0,17
17474,137.0,17
17619,145.0,17
17748,129.0,17
17882,134.0,17
18017,135.0,18
18138,121.0,18
18272,134.0,18
18406,134.0,18
18537,131.0,18
18659,122.0,18
18783,124.0,18
18896,113.0,18
19030,134.0,19
19161,131.0,19
19288,127.0,19
19413,125.0,19
19552,139.0,19
19689,137.0,19
19830,141.0,19
19957,127.0,19
20090,133.0,20
20221,131.0,20
20365,144.0,20
20516,151.0,20
20657,141.0,20
20783,126.0,20
20928,145.0,20
21061,133.0,21
21230,169.0,21
21423,193.0,21
21601,178.0,21
21846,245.0,21
22022,176.0,22
22240,218.0,22
22370,130.0,22
22629,259.0,22
22767,138.0,22
22897,130.0,22
23061,164.0,23
23250,189.0,23
23391,141.0,23
23513,122.0,23
23691,178.0,23
23757,66.0,23
23807,50.0,23
23964,157.0,23
24095,131.0,24
24178,83.0,24
24254,76.0,24
24582,328.0,24
24758,176.0,24
24884,126.0,24
25031,147.0,25
25084,53.0,25
25249,165.0,25
25396,147.0,25
25548,152.0,25
25725,177.0,25
25875,150.0,25
26015,140.0,26
26148,133.0,26
26312,164.0,26
26461,149.0,26
26645,184.0,26
26809,164.0,26
27035,226.0,27
27232,197.0,27
27408,176.0,27
27559,151.0,27
27932,373.0,27
28098,166.0,28
28454,356.0,28
28664,210.0,28
28936,272.0,28
29096,160.0,29
29295,199.0,29
29552,257.0,29
29780,228.0,29
30055,275.0,30
30286,231.0,30
30506,220.0,30
30710,204.0,30
30931,221.0,30
31283,352.0,31
31534,251.0,31
31759,225.0,31
32153,394.0,32
32456,303.0,32
32903,447.0,32
33222,319.0,33
33366,144.0,33
33638,272.0,33
33806,168.0,33
34076,270.0,34
34252,176.0,34
34524,272.0,34
34790,266.0,34
34972,182.0,34
35209,237.0,35
35399,190.0,35
35667,268.0,35
35842,175.0,35
36042,200.0,36
36359,317.0,36
36589,230.0,36
36771,182.0,36
36948,177.0,36
37154,206.0,37
37366,212.0,37
37540,174.0,37
37909,369.0,37
38134,225.0,38
38321,187.0,38
38504,183.0,38
38693,189.0,38
38838,145.0,38
38979,141.0,38
39130,151.0,39
39240,110.0,39
39362,122.0,39
39482,120.0,39
39602,120.0,39
39722,120.0,39
39838,116.0,39
39951,113.0,39
40074,123.0,40
40195,121.0,40
40309,114.0,40
40426,117.0,40
40544,118.0,40
40672,128.0,40
40786,114.0,40
40904,118.0,40
41019,115.0,41
41140,121.0,41
41253,113.0,41
41370,117.0,41
41490,120.0,41
41606,116.0,41
41745,139.0,41
41858,113.0,41
41975,117.0,41
42085,110.0,42
42203,118.0,42
42308,105.0,42
