frame;episode;reward;epsilon;time;avg_eval_reward;avg_eval_episode_length
1000;1;-62.06896551724219;0.15255172882409043;29.516626358032227;;
2000;2;-39.18918918919021;0.029292278596277074;61.44034719467163;;
2591;3;-80.05263157894817;0.015916262666055885;79.41835570335388;;
3173;4;-86.18219178082254;0.011847262739496442;97.77800488471985;;
3749;5;-79.72222222222297;0.010583742652459517;116.197265625;;
4191;6;-78.09339933993455;0.010241159905583363;130.71339797973633;;
4618;7;-78.96363636363685;0.010102663866759525;144.79253816604614;;
5096;8;-84.25589123867127;0.010039466816179668;160.4618890285492;;
6096;9;-29.292929292930058;0.010005341252746124;192.8606743812561;;
7096;10;12.211221122113184;0.010000722859953235;227.08038449287415;;
8096;11;170.27027027027546;0.010000097828456511;260.50906467437744;;
9096;12;4.316546762590528;0.010000013239641871;294.35391092300415;-15.05;1000.0
10096;13;268.21705426355857;0.010000001791790683;403.3432824611664;;
11096;14;-28.082191780822694;0.0100000002424925;435.96610021591187;;
12096;15;9.375000000001036;0.010000000032817792;469.4778437614441;;
13048;16;-40.65984555984195;0.010000000004888918;495.21798491477966;;
14048;17;214.60674157303765;0.010000000000661643;522.5316424369812;;
15048;18;89.54248366013313;0.010000000000089543;555.3303244113922;;
16048;19;164.2140468227473;0.010000000000012119;589.960618019104;;
17048;20;61.09422492401663;0.01000000000000164;624.8620457649231;;
18048;21;34.54545454545483;0.010000000000000222;659.1964848041534;;
18828;22;18.710169491528944;0.010000000000000047;684.7224383354187;;
19828;23;9.848484848485878;0.010000000000000007;718.3232052326202;230.41;1000.0
20828;24;59.60912052117176;0.01;836.4146177768707;;
21828;25;142.95774647887734;0.01;868.9907162189484;;
22828;26;-12.28070175438662;0.01;902.1771216392517;;
23828;27;13.074204946997678;0.01;933.5957713127136;;
24828;28;-34.782608695652776;0.01;965.373247385025;;
25828;29;288.70431893686765;0.01;997.2921743392944;;
26828;30;90.81272084806078;0.01;1029.287871837616;;
27828;31;389.99999999998926;0.01;1061.844321489334;;
28828;32;143.98625429553667;0.01;1094.4597461223602;;
29828;33;545.669291338577;0.01;1125.5239493846893;529.31;1000.0
30828;34;362.29508196720604;0.01;1234.5798780918121;;
31828;35;251.51515151515324;0.01;1262.0004477500916;;
32828;36;246.28975265017922;0.01;1289.401551246643;;
33828;37;392.0634920634876;0.01;1317.00599193573;;
34828;38;403.3112582781429;0.01;1344.1229264736176;;
35828;39;769.4029850746157;0.01;1370.8416533470154;;
36828;40;220.1219512195145;0.01;1398.8015081882477;;
37828;41;694.2238267147918;0.01;1426.280654668808;;
38828;42;504.89510489509837;0.01;1453.745968580246;;
39828;43;708.0808080807949;0.01;1481.5255625247955;244.24;1000.0
40828;44;217.5675675675678;0.01;1582.1913526058197;;
41828;45;793.617021276586;0.01;1610.1119151115417;;
42828;46;697.2508591065174;0.01;1637.8863422870636;;
43828;47;247.54098360654908;0.01;1664.8768062591553;;
44828;48;480.06042296071337;0.01;1693.1594195365906;;
45828;49;728.0701754385836;0.01;1721.3732051849365;;
46828;50;825.2669039145804;0.01;1749.3127279281616;;
47828;51;530.718954248354;0.01;1778.109708070755;;
48828;52;377.03180212013143;0.01;1806.3378274440765;;
49828;53;221.6560509554124;0.01;1835.4065670967102;60.31;1000.0
50828;54;369.3877551020425;0.01;1936.4942927360535;;
51828;55;561.1842105263036;0.01;1965.0288836956024;;
52828;56;568.8963210702225;0.01;1996.2745995521545;;
53828;57;691.9708029196966;0.01;2029.3412261009216;;
54828;58;515.3846153846113;0.01;2063.4712932109833;;
55828;59;274.59283387621366;0.01;2098.3684258461;;
56828;60;734.4370860927062;0.01;2132.969274997711;;
57828;61;888.1422924901107;0.01;2166.68221449852;;
58828;62;394.7735191637612;0.01;2201.0513484477997;;
59828;63;346.15384615384096;0.01;2234.276436805725;679.67;1000.0
60828;64;630.303030303017;0.01;2353.9472177028656;;
61828;65;892.8571428571271;0.01;2390.1515653133392;;
62828;66;880.3921568627269;0.01;2421.69188952446;;
63828;67;590.6474820143817;0.01;2449.1929264068604;;
64828;68;877.8597785977773;0.01;2476.5311629772186;;
65828;69;507.47663551400694;0.01;2505.9524207115173;;
66828;70;722.2222222222081;0.01;2538.6552743911743;;
67828;71;591.8238993710563;0.01;2571.5761137008667;;
68828;72;861.1307420494558;0.01;2603.9302790164948;;
69828;73;707.5471698113083;0.01;2636.0482454299927;-92.56;1000.0
70828;74;465.91639871381506;0.01;2748.729316473007;;
71828;75;848.5294117646916;0.01;2781.8066341876984;;
72828;76;516.352201257847;0.01;2815.4478936195374;;
73828;77;817.7631578947238;0.01;2848.937665462494;;
74828;78;882.1428571428419;0.01;2882.0393812656403;;
75828;79;625.4901960784221;0.01;2915.2585723400116;;
76828;80;705.6426332288241;0.01;2948.4412109851837;;
77828;81;599.6587030716559;0.01;2981.2119841575623;;
78828;82;504.5751633986806;0.01;3014.2436084747314;;
79828;83;596.7741935483805;0.01;3047.1817688941956;719.05;950.6
80828;84;619.9999999999874;0.01;3160.2815368175507;;
81828;85;439.51890034362987;0.01;3193.0044779777527;;
82828;86;644.4089456868905;0.01;3226.4434027671814;;
83828;87;856.3492063491941;0.01;3259.332739830017;;
84828;88;720.8469055374461;0.01;3294.0824410915375;;
85828;89;836.1022364217132;0.01;3322.9153361320496;;
86693;90;913.4999999999942;0.01;3347.9746441841125;;
87693;91;865.3979238754241;0.01;3380.275383234024;;
88644;92;904.8999999999864;0.01;3410.5183458328247;;
89644;93;865.7794676805917;0.01;3438.2077825069427;613.35;827.2
90541;94;910.2999999999867;0.01;3525.812788248062;;
91541;95;606.0931899641432;0.01;3553.8770265579224;;
92541;96;767.7419354838615;0.01;3583.4471611976624;;
93541;97;872.0279720279566;0.01;3615.2332684993744;;
94541;98;888.6363636363475;0.01;3647.2252173423767;;
95541;99;869.6969696969537;0.01;3676.793979406357;;
96541;100;882.3943661971649;0.01;3708.8377430438995;;
97541;101;227.702702702697;0.01;3741.04159450531;;
98396;102;914.4999999999841;0.01;3768.8674738407135;;
99304;103;909.199999999994;0.01;3796.382933139801;888.64;971.2
