Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.2976;0.5847;0.6599;1.5039;0.4032;-7.0929;1.51
33;132;0;-0.4000;2.3246;0.4967;0.5337;1.4639;0.4035;-7.2474;1.58
34;136;0;-0.4000;2.2872;0.4145;0.5556;1.4566;0.4501;-7.1904;1.66
35;140;0;-0.4000;1.9419;0.3292;0.4640;1.3668;0.4882;-7.1406;1.74
36;144;0;-0.4000;2.2233;0.2702;0.5615;1.4399;0.5028;-7.0881;1.82
37;148;0;-0.4000;2.1939;0.2280;0.5501;1.4361;0.5306;-7.0443;1.90
38;152;0;-0.4000;2.1609;0.1898;0.5687;1.4244;0.5842;-6.9957;1.98
39;156;0;-0.4000;2.1317;0.1563;0.5819;1.4188;0.6391;-6.9366;2.06
40;160;0;-0.4000;2.0836;0.1270;0.5820;1.4005;0.6881;-6.8711;2.14
41;164;0;-0.4000;2.0390;0.1064;0.5808;1.3867;0.7376;-6.7917;2.22
42;168;0;-0.4000;0.6322;0.0845;0.4323;0.7939;0.7943;-2.8573;2.30
43;172;0;-0.4000;0.6331;0.0651;0.4454;0.7957;0.8410;-2.8103;2.38
44;176;0;-0.4000;1.6822;0.0536;0.5042;1.2821;0.8702;-6.5940;2.46
45;180;0;-0.4000;1.9238;0.0459;0.6061;1.3665;0.8989;-6.5230;2.54
46;184;0;3.2496;0.5680;0.0331;0.3884;0.7528;0.9429;-2.7136;2.62
47;188;0;-0.4000;2.0373;0.0266;0.6616;1.3877;1.0118;-6.3675;2.70
48;192;0;-0.4000;1.9897;0.0246;0.6827;1.3869;1.1040;-6.2804;2.78
49;196;0;-0.4000;1.8356;0.0276;0.6822;1.3540;1.2057;-6.1849;2.86
50;200;0;-0.4000;1.5603;0.0319;0.5561;1.2478;1.2452;-6.0951;2.94
51;204;0;-0.4000;1.7423;0.0358;0.6504;1.3135;1.2119;-6.0082;3.02
52;208;0;-0.4000;0.7164;0.0270;0.4629;0.8413;1.1787;-2.4878;3.10
53;212;0;-0.4000;0.4496;0.0223;0.4140;0.6429;1.2636;-2.4005;3.18
54;216;0;-0.4000;1.3824;0.0277;0.5098;1.1745;1.2341;-5.7642;3.26
55;220;0;-0.4000;1.2873;0.0302;0.4306;1.1274;1.1707;-5.6825;3.35
56;224;0;-0.4000;1.1828;0.0378;0.4661;1.0850;1.1667;-5.5762;3.43
57;228;0;-0.4000;0.5525;0.0438;0.3667;0.7433;1.0264;-2.6377;3.51
58;232;0;-0.4000;1.4175;0.0262;0.4817;1.1699;1.0238;-5.3727;3.60
59;236;0;3.2496;0.3580;0.0149;0.3122;0.5867;1.2102;-2.4440;3.68
60;240;0;-0.4000;1.4246;0.0132;0.5929;1.1910;1.2518;-5.1573;3.77
61;244;0;-0.4000;0.5354;0.0120;0.3654;0.7314;1.2088;-2.4527;3.86
62;248;0;-0.4000;0.5731;0.0131;0.3819;0.7554;1.1781;-2.4786;3.95
63;252;0;-0.4000;1.3390;0.0151;0.5605;1.1552;1.1623;-4.8156;4.03
64;256;0;-0.4000;0.7735;0.0107;0.4502;0.8783;1.1019;-2.5546;4.12
65;260;0;-0.4000;0.9822;0.0076;0.4011;0.9898;1.1700;-4.5572;4.21
66;264;0;-0.4000;0.6735;0.0043;0.3705;0.8135;1.1759;-2.4802;4.30
67;268;0;-0.4000;1.4338;0.0057;0.6944;1.1971;1.2919;-4.2859;4.39
68;272;0;-0.4000;0.8327;0.0044;0.3787;0.9116;1.3068;-4.1301;4.47
69;276;0;-0.4000;0.9557;0.0048;0.4094;0.9669;1.2486;-3.9526;4.56
70;280;0;-0.4000;1.2327;0.0053;0.5803;1.1044;1.2443;-3.7576;4.64
71;284;0;-0.4000;0.8367;0.0041;0.4875;0.9141;1.2687;-2.3928;4.74
72;288;0;-0.4000;0.6442;0.0031;0.3566;0.7971;1.2699;-2.3970;4.83
