Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.2136;1.1396;0.6654;1.4777;0.4077;-6.8377;1.48
33;132;0;-0.4000;2.1896;0.9120;0.6119;1.4625;0.3821;-6.8193;1.54
34;136;0;-0.4000;2.1604;0.6967;0.6348;1.4568;0.3657;-6.7662;1.62
35;140;0;-0.4000;2.1275;0.5463;0.6261;1.4450;0.3570;-6.7255;1.69
36;144;0;3.1461;2.4483;0.5042;0.7303;1.5364;0.3759;-6.6996;1.76
37;148;0;-0.4000;2.4258;0.4895;0.7190;1.5278;0.3977;-6.6718;1.83
38;152;0;-0.4000;2.4046;0.4617;0.7096;1.5199;0.4257;-6.6358;1.89
39;156;0;-0.4000;2.3839;0.4444;0.7174;1.5158;0.4540;-6.5913;1.97
40;160;0;3.1461;2.3897;0.4521;0.7243;1.5183;0.4766;-6.5414;2.05
41;164;0;-0.4000;2.3392;0.4286;0.7171;1.5030;0.4835;-6.4947;2.12
42;168;0;-0.4000;2.6358;0.3590;0.8478;1.5862;0.5144;-6.4281;2.19
43;172;0;-0.4000;2.3148;0.2899;0.7241;1.4965;0.5758;-6.3555;2.27
44;176;0;3.1461;2.8367;0.2341;0.9098;1.6224;0.6130;-6.2978;2.34
45;180;0;-0.4000;2.2493;0.1968;0.7733;1.4862;0.6816;-6.2391;2.41
46;184;0;-0.4000;1.9211;0.1905;0.7098;1.3846;0.7211;-6.1814;2.48
47;188;0;-0.4000;1.3250;0.2053;0.6791;1.1465;0.7251;-3.2029;2.56
48;192;0;-0.4000;1.0004;0.2262;0.5631;0.9999;0.7189;-3.1840;2.64
49;196;0;-0.4000;2.1385;0.2617;0.7293;1.4437;0.7012;-6.0702;2.71
50;200;0;-0.4000;2.1272;0.3028;0.7205;1.4390;0.7233;-6.0174;2.79
51;204;0;-0.4000;0.6956;0.3973;0.4396;0.8323;0.7218;-3.3048;2.86
52;208;0;3.1461;2.6492;0.4509;0.8365;1.5496;0.6229;-5.9371;2.93
53;212;0;-0.4000;1.0024;0.4451;0.5256;0.9998;0.6970;-3.3313;3.01
54;216;0;-0.4000;2.4460;0.4693;0.8072;1.5225;0.7424;-5.7910;3.08
55;220;0;-0.4000;1.9004;0.4847;0.6311;1.3515;0.7069;-5.7246;3.15
56;224;0;-0.4000;0.6242;0.4760;0.4252;0.7866;0.7473;-2.8078;3.23
57;228;0;-0.4000;1.6377;0.4851;0.6933;1.2484;0.7573;-3.4452;3.31
58;232;0;-0.4000;1.9794;0.5078;0.7414;1.3962;0.7443;-5.4937;3.39
59;236;0;-0.4000;1.0977;0.5190;0.5263;1.0443;0.6898;-3.4469;3.47
60;240;0;-0.4000;0.6477;0.5407;0.3997;0.8044;0.5708;-3.0302;3.55
61;244;0;-0.4000;2.2247;0.5433;0.7666;1.4480;0.4957;-5.3902;3.63
62;248;0;-0.4000;1.8620;0.5016;0.6634;1.3408;0.5173;-5.2331;3.71
63;252;0;-0.4000;0.6948;0.4354;0.4739;0.8273;0.5790;-2.9884;3.79
64;256;0;-0.4000;1.3483;0.4060;0.6183;1.1485;0.5801;-3.3529;3.86
65;260;0;-0.4000;1.1482;0.4228;0.5179;1.0714;0.6147;-4.9399;3.94
66;264;0;-0.4000;1.3017;0.3683;0.6512;1.1344;0.5759;-3.2979;4.02
67;268;0;-0.4000;1.3564;0.3467;0.6607;1.1569;0.5892;-3.3218;4.09
68;272;0;-0.4000;1.8885;0.3516;0.7546;1.3427;0.5963;-4.6953;4.17
69;276;0;-0.4000;0.7982;0.3257;0.4335;0.8859;0.7084;-4.5761;4.25
70;280;0;-0.4000;0.9931;0.2712;0.5637;0.9963;0.7281;-3.3146;4.33
71;284;0;-0.4000;1.5131;0.2830;0.6803;1.2204;0.7363;-4.3328;4.41
72;288;0;-0.4000;0.7654;0.2293;0.5086;0.8678;0.7303;-3.3345;4.49
73;292;0;3.1461;1.0340;0.2498;0.5404;1.0145;0.6729;-4.0974;4.57
74;296;0;-0.4000;2.0473;0.2391;0.8526;1.3895;0.6209;-3.9825;4.65
75;300;0;-0.4000;0.7550;0.1945;0.4777;0.8654;0.6216;-3.3396;4.73
76;304;0;-0.4000;0.7875;0.1909;0.4568;0.8863;0.6222;-3.3325;4.81
77;308;0;-0.4000;1.2751;0.1883;0.6596;1.1246;0.5948;-3.1351;4.89
78;312;0;-0.4000;1.3732;0.2119;0.6107;1.1555;0.5867;-3.5317;4.97
79;316;0;-0.4000;1.0683;0.1675;0.5371;1.0313;0.5947;-3.3145;5.06
80;320;0;-0.4000;1.3489;0.1972;0.6111;1.1465;0.5759;-3.2439;5.14
81;324;0;-0.4000;1.3694;0.1857;0.6756;1.1646;0.5713;-3.3169;5.22
82;328;0;-0.4000;0.9948;0.1822;0.5486;0.9970;0.5511;-3.3125;5.30
83;332;0;-0.4000;0.6994;0.1449;0.4505;0.8340;0.5366;-3.1037;5.39
84;336;0;-0.4000;0.6041;0.1733;0.4256;0.7738;0.5291;-3.0695;5.47
85;340;0;-0.4000;1.0095;0.1294;0.5601;1.0045;0.5274;-3.2061;5.55
86;344;0;3.1461;0.3920;0.1184;0.3750;0.5971;0.5713;-2.9831;5.63
87;348;0;-0.4000;1.3984;0.1464;0.6808;1.1641;0.5997;-3.3329;5.71
88;352;0;-0.4000;1.1661;0.1384;0.6102;1.0760;0.7179;-3.5369;5.79
89;356;0;-0.4000;0.6099;0.0956;0.4691;0.7404;0.8045;-3.5308;5.88
90;360;0;-0.4000;0.4102;0.0835;0.3598;0.6179;0.6934;-3.0627;5.96
91;364;0;-0.4000;1.3653;0.0795;0.6569;1.1607;0.5829;-3.3555;6.04
92;368;0;-0.4000;0.8777;0.0968;0.5106;0.9366;0.5140;-3.3499;6.12
93;372;0;-0.4000;1.0561;0.0679;0.5362;1.0255;0.4927;-3.3416;6.20
94;376;0;-0.4000;2.0322;0.0584;0.8638;1.3844;0.4653;-3.4847;6.29
95;380;0;-0.4000;1.0570;0.0519;0.5498;1.0268;0.5052;-3.3152;6.37
96;384;0;-0.4000;0.6795;0.0810;0.4663;0.8227;0.5235;-3.0296;6.45
97;388;0;-0.4000;1.1386;0.0436;0.6036;1.0670;0.5746;-3.4516;6.54
98;392;0;-0.4000;0.7762;0.0428;0.5129;0.8740;0.5558;-3.4394;6.62
99;396;0;-0.4000;0.7546;0.0806;0.4883;0.8659;0.5252;-3.2776;6.71
