Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.2976;16006.2227;0.6599;1.5039;0.4032;-7.0929;0.57
33;132;0;-0.4000;2.3232;16003.6787;0.5355;1.4639;0.4050;-7.2454;0.66
34;136;0;-0.4000;2.2811;15974.8828;0.5594;1.4547;0.4688;-7.1890;0.75
35;140;0;-0.4000;1.9415;15983.2344;0.4705;1.3665;0.5142;-7.1439;0.84
36;144;0;-0.4000;2.2142;15989.8984;0.5688;1.4381;0.5457;-7.0953;0.93
37;148;0;-0.4000;2.1824;15958.3320;0.5673;1.4345;0.5870;-7.0488;1.02
38;152;0;-0.4000;2.1606;15965.6572;0.5887;1.4287;0.6287;-7.0077;1.11
39;156;0;-0.4000;2.1420;15923.7158;0.6061;1.4268;0.6807;-6.9611;1.20
40;160;0;-0.4000;2.1040;15852.1885;0.6154;1.4142;0.7358;-6.9072;1.29
41;164;0;-0.4000;2.0732;15905.9336;0.6177;1.4053;0.7929;-6.8549;1.38
42;168;0;-0.4000;0.6531;16183.5430;0.4802;0.8082;0.8588;-2.7909;1.47
43;172;0;-0.4000;0.6604;16004.6250;0.5015;0.8115;0.9284;-2.7213;1.56
44;176;0;-0.4000;1.7839;15666.5000;0.5707;1.3265;0.9937;-6.7591;1.65
45;180;0;-0.4000;2.0368;15453.0742;0.6797;1.4155;1.0563;-6.7420;1.74
46;184;0;3.2496;0.5878;15304.0244;0.4610;0.7661;1.1208;-2.5289;1.83
47;188;0;-0.4000;2.1611;14865.7256;0.7190;1.4414;1.1823;-6.7158;1.91
48;192;0;-0.4000;2.1542;14072.2148;0.7366;1.4517;1.2546;-6.7014;2.00
49;196;0;-0.4000;2.0813;13642.0508;0.7457;1.4427;1.3329;-6.6860;2.09
50;200;0;-0.4000;1.8519;12674.4805;0.6299;1.3607;1.4032;-6.6713;2.18
51;204;0;-0.4000;2.0675;11777.8213;0.7484;1.4366;1.4552;-6.6534;2.27
52;208;0;-0.4000;0.7121;11083.1562;0.5388;0.8435;1.4935;-2.1563;2.36
53;212;0;-0.4000;0.5846;9775.0820;0.5129;0.7055;1.5423;-2.1075;2.45
54;216;0;-0.4000;1.8207;8528.8486;0.6311;1.3492;1.5554;-6.6494;2.54
55;220;0;-0.4000;1.7186;7840.4722;0.5398;1.3094;1.5595;-6.6658;2.63
56;224;0;-0.4000;1.8356;7735.1572;0.6517;1.3425;1.5667;-6.6777;2.72
57;228;0;-0.4000;0.6158;7921.7622;0.4961;0.7617;1.5424;-2.1072;2.81
58;232;0;-0.4000;1.9190;7864.9761;0.5956;1.3782;1.4853;-6.7364;2.90
