Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.0508;0.0000;0.6342;1.4217;0.4026;-6.5985;0.50
33;132;0;-0.4000;2.0324;0.0000;0.6313;1.4156;0.4020;-6.5836;0.54
34;136;0;-0.4000;2.0171;0.0000;0.6406;1.4118;0.4136;-6.5384;0.59
35;140;0;-0.4000;0.6874;0.0000;0.4529;0.8263;0.4337;-3.1094;0.63
36;144;0;-0.4000;1.9878;0.0000;0.6427;1.4026;0.4592;-6.4746;0.68
37;148;0;-0.4000;1.9670;0.0000;0.6429;1.3957;0.4865;-6.4463;0.72
38;152;0;-0.4000;1.6543;0.0000;0.5391;1.2854;0.5083;-6.4015;0.76
39;156;0;3.0722;1.0349;0.0000;0.5148;1.0128;0.5190;-3.4986;0.81
40;160;0;-0.4000;2.2770;0.0000;0.7180;1.4846;0.5250;-6.3099;0.85
41;164;0;-0.4000;1.9235;0.0000;0.5873;1.3723;0.5243;-6.2421;0.90
42;168;0;3.0722;0.3827;0.0000;0.3407;0.6011;0.4898;-3.1058;0.94
43;172;0;-0.4000;2.5118;0.0000;0.7736;1.5308;0.4370;-6.1172;0.99
44;176;0;3.0722;1.7967;0.0000;0.5990;1.3305;0.4507;-6.0381;1.03
45;180;0;-0.4000;1.7903;0.0000;0.5825;1.3251;0.4829;-5.9459;1.08
46;184;0;3.0722;2.0735;0.0000;0.6840;1.4129;0.5211;-5.8614;1.14
47;188;0;-0.4000;1.2348;0.0000;0.5488;1.0875;0.5512;-3.2630;1.19
48;192;0;-0.4000;1.5803;0.0000;0.6976;1.2266;0.6062;-3.2484;1.24
49;196;0;3.0722;1.9115;0.0000;0.7776;1.3234;0.6560;-3.4553;1.28
50;200;0;-0.4000;2.3908;0.0000;0.7982;1.5005;0.6997;-5.6321;1.33
51;204;0;3.0722;3.1311;0.0000;1.0449;1.6422;0.7155;-5.5577;1.37
52;208;0;-0.4000;0.9456;0.0000;0.5076;0.9700;0.7506;-3.1288;1.42
